Monit_MAP_CODE1,Year,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count
19002601-01,2004,NaN,8678,3086,304,8889
82008700-01,2004,NaN,12330,278,209,395
82009700-01,2004,NaN,10560,4,90,12
10005200-01,2004,69.25465838509317,516,128,65,579
82005400-01,2004,NaN,445,0,64,0
02000500-01,2004,NaN,1800,813,63,2550
19003100-01,2004,NaN,1987,732,45,1718
10012100-01,2004,50.121654501216554,351,58,42,369
82015300-01,2004,NaN,755,0,40,0
10009500-01,2004,71.50259067357513,335,47,38,348
82009400-01,2004,NaN,9898,0,33,0
10001900-01,2004,66.85761047463176,1548,885,31,2413
82007700-01,2004,NaN,214,0,30,0
82033400-01,2004,NaN,179,0,28,0
82012300-01,2004,NaN,345,0,24,0
82013700-01,2004,100.0,1289,41,22,497
19034800-01,2004,NaN,6038,902,21,6921
82008900-01,2004,NaN,2224,0,19,0
82036800-01,2004,NaN,583,0,18,0
82012200-01,2004,NaN,697,0,18,0
82010400-01,2004,NaN,682,0,16,0
82010100-01,2004,NaN,303,0,10,0
82015900-01,2004,NaN,4091,0,8,0
10000200-01,2004,66.66666666666666,3328,1061,8,699
82003400-01,2004,NaN,27,0,6,0
82011602-01,2004,NaN,5929,0,6,0
70002600-01,2004,NaN,2926,322,3,0
82009200-01,2004,NaN,1122,0,2,0
19044600-01,2004,NaN,4801,300,2,5109
19002300-01,2004,NaN,5105,909,2,6024
82002000-01,2004,NaN,4599,0,1,0
82009002-01,2004,NaN,7236,0,0,0
19002400-01,2004,NaN,2185,506,0,2694
19003300-01,2004,NaN,3770,700,0,4480
82010300-01,2004,NaN,1793,0,0,0
27071100-01,2004,NaN,5810,1176,0,7001
27005300-01,2004,NaN,8163,1340,0,9518
27003501-01,2004,NaN,4000,632,0,4637
19002900-01,2004,NaN,942,315,0,1257
27062700-01,2004,NaN,11462,1240,0,12712
27007000-01,2004,NaN,3579,398,0,3979
19002700-01,2004,NaN,1676,175,0,1853
10001100-01,2004,87.8581173260573,637,94,0,733
27004201-01,2004,NaN,8278,1102,0,9383
19002200-01,2004,NaN,7260,393,0,7653
19002500-01,2004,NaN,2203,179,0,2382
19002100-01,2004,NaN,4863,562,0,5427
19002601-01,2005,NaN,8462,3771,283,10244
82008700-01,2005,NaN,12447,279,206,400
82009700-01,2005,NaN,10862,4,90,12
10005200-01,2005,73.4567901234568,534,114,63,585
82005400-01,2005,NaN,445,0,60,0
10012100-01,2005,50.72115384615385,358,58,42,374
82015300-01,2005,NaN,755,0,40,0
19003100-01,2005,NaN,1897,619,38,1813
10009500-01,2005,51.78571428571429,339,221,37,523
82009400-01,2005,NaN,10453,0,33,0
82033400-01,2005,NaN,179,0,32,0
82007700-01,2005,NaN,215,0,30,0
10001900-01,2005,67.75178026449645,1767,1176,30,2919
82012300-01,2005,NaN,343,0,24,0
19034800-01,2005,NaN,6270,1091,21,7347
82013700-01,2005,100.0,1378,37,20,495
82012200-01,2005,NaN,701,0,18,0
82036800-01,2005,NaN,583,0,18,0
82010400-01,2005,NaN,691,0,16,0
82008900-01,2005,NaN,2561,0,11,0
82010100-01,2005,NaN,299,0,10,0
10000200-01,2005,34.21052631578947,2474,852,8,808
19044600-01,2005,NaN,4805,302,8,5103
82015900-01,2005,NaN,4108,0,8,0
82003400-01,2005,NaN,27,0,6,0
70002600-01,2005,NaN,1961,208,4,0
82011602-01,2005,NaN,6013,0,4,0
82002000-01,2005,NaN,4767,0,1,0
19002900-01,2005,NaN,952,317,0,1269
27007000-01,2005,NaN,3564,415,0,3979
27005300-01,2005,NaN,8106,1427,0,9533
82010300-01,2005,NaN,1783,0,0,0
19002300-01,2005,NaN,5377,796,0,6181
19002200-01,2005,NaN,7218,416,0,7634
19003300-01,2005,NaN,3755,717,0,4476
27003501-01,2005,NaN,3966,671,0,4637
82009200-01,2005,NaN,1182,0,0,0
19002400-01,2005,NaN,2171,475,0,2648
10001100-01,2005,87.24832214765101,639,106,0,745
27004201-01,2005,NaN,8215,1158,0,9373
19002100-01,2005,NaN,4883,569,0,5454
02000500-01,2005,NaN,1815,877,0,0
27071100-01,2005,NaN,5815,1189,0,7004
82009002-01,2005,NaN,7240,0,0,0
19002500-01,2005,NaN,2203,171,0,2378
27062700-01,2005,NaN,11394,1327,0,12721
19002700-01,2005,NaN,1664,191,0,1857
19002601-01,2006,NaN,8659,3681,282,10347
82008700-01,2006,NaN,10240,2404,210,398
82009700-01,2006,NaN,8083,2951,82,12
10005200-01,2006,58.34348355663824,536,285,56,765
82005400-01,2006,NaN,333,94,54,0
82015300-01,2006,NaN,648,72,44,0
10012100-01,2006,50.602409638554214,359,56,42,373
10009500-01,2006,50.43478260869565,356,219,38,537
19003100-01,2006,NaN,1849,759,38,1907
10001900-01,2006,67.76581426648721,1968,990,32,2940
82009400-01,2006,NaN,8732,1749,31,0
82033400-01,2006,NaN,156,19,30,0
82007700-01,2006,NaN,186,19,30,0
82012300-01,2006,NaN,302,33,26,0
82013700-01,2006,100.0,1118,288,22,497
19034800-01,2006,NaN,6479,1010,21,7474
82012200-01,2006,NaN,559,133,20,0
82036800-01,2006,NaN,444,131,18,0
82010400-01,2006,NaN,610,74,16,0
82010100-01,2006,NaN,218,78,10,0
82008900-01,2006,NaN,1696,867,9,0
82015900-01,2006,NaN,2629,1407,8,0
19044600-01,2006,NaN,4761,351,8,5108
10000200-01,2006,36.84210526315789,2444,885,8,805
82003400-01,2006,NaN,11,15,6,0
70002600-01,2006,NaN,1928,241,4,0
82011602-01,2006,NaN,4746,1190,4,0
82002000-01,2006,NaN,3587,1161,1,0
19002900-01,2006,NaN,946,321,0,1267
19002100-01,2006,NaN,4819,638,0,5459
19002300-01,2006,NaN,5559,1013,0,6578
27004201-01,2006,NaN,8084,1286,0,9370
82009002-01,2006,NaN,5987,1229,0,0
19002200-01,2006,NaN,7202,456,0,7660
82009200-01,2006,NaN,904,284,0,0
82010300-01,2006,NaN,1576,192,0,0
27062700-01,2006,NaN,11379,1394,0,12773
27071100-01,2006,NaN,5794,1194,0,6988
02000500-01,2006,NaN,1849,941,0,0
27005300-01,2006,NaN,8087,1569,0,9656
10001100-01,2006,87.24832214765101,657,88,0,745
27003501-01,2006,NaN,3972,701,0,4673
27007000-01,2006,NaN,3505,517,0,4022
19002700-01,2006,NaN,1650,205,0,1857
19002500-01,2006,NaN,2201,171,0,2378
19003300-01,2006,NaN,3750,726,0,4480
19002400-01,2006,NaN,2154,490,0,2648
19002601-01,2007,NaN,8840,3540,285,10375
82008700-01,2007,NaN,168,288,198,398
82009700-01,2007,NaN,10,4,74,12
10005200-01,2007,47.82608695652174,273,256,58,990
82005400-01,2007,NaN,0,0,44,0
10012100-01,2007,50.0,195,31,40,377
19003100-01,2007,NaN,1874,729,40,1907
10009500-01,2007,55.73248407643312,194,120,38,568
10001900-01,2007,70.72266831377394,1052,550,31,3194
82033400-01,2007,NaN,0,0,30,0
82009400-01,2007,NaN,0,0,29,0
82012300-01,2007,NaN,0,0,26,0
82015300-01,2007,NaN,0,0,26,0
19034800-01,2007,NaN,6529,960,23,7475
82012200-01,2007,NaN,0,0,20,0
82013700-01,2007,100.0,458,37,18,497
82007700-01,2007,NaN,0,0,18,0
82036800-01,2007,NaN,0,0,16,0
82010400-01,2007,NaN,0,0,16,0
82010100-01,2007,NaN,0,0,10,0
19044600-01,2007,NaN,4739,373,8,5112
10000200-01,2007,70.27027027027027,2455,844,8,808
82008900-01,2007,NaN,0,0,7,0
82015900-01,2007,NaN,0,0,6,0
82011602-01,2007,NaN,0,0,4,0
70002600-01,2007,NaN,1940,233,4,0
82003400-01,2007,NaN,0,0,2,0
10001100-01,2007,90.21164021164022,332,45,0,750
19002400-01,2007,NaN,2138,506,0,2648
27005300-01,2007,NaN,8070,1766,0,9836
27007000-01,2007,NaN,3492,537,0,4029
27071100-01,2007,NaN,5723,1258,0,6981
19002500-01,2007,NaN,2191,183,0,2380
27062700-01,2007,NaN,11353,1474,0,12827
82009002-01,2007,NaN,0,0,0,0
02000500-01,2007,NaN,1873,977,0,0
82002000-01,2007,NaN,0,0,0,0
27003501-01,2007,NaN,3959,720,0,4679
19002700-01,2007,NaN,1640,213,0,1857
82009200-01,2007,NaN,0,0,0,0
27004201-01,2007,NaN,7924,1436,0,9360
82010300-01,2007,NaN,0,0,0,0
19002100-01,2007,NaN,4802,653,0,5457
19003300-01,2007,NaN,3732,770,0,4515
19002200-01,2007,NaN,7168,486,0,7660
19002300-01,2007,NaN,5691,869,0,6568
19002900-01,2007,NaN,956,311,0,1267
19002601-01,2008,NaN,8888,3525,274,10428
82008700-01,2008,NaN,166,290,162,402
10005200-01,2008,47.794117647058826,280,264,58,1018
82005400-01,2008,NaN,0,0,46,0
82009700-01,2008,NaN,10,4,46,12
10012100-01,2008,50.0,193,35,40,381
10009500-01,2008,55.55555555555556,197,118,38,570
19003100-01,2008,NaN,1885,722,34,1916
10001900-01,2008,71.00840336134453,1107,559,29,3291
82015300-01,2008,NaN,0,0,24,0
19034800-01,2008,NaN,6500,982,23,7487
82033400-01,2008,NaN,0,0,20,0
82009400-01,2008,NaN,0,0,18,0
82007700-01,2008,NaN,0,0,18,0
82012300-01,2008,NaN,0,0,16,0
82012200-01,2008,NaN,0,0,16,0
82010400-01,2008,NaN,0,0,14,0
82036800-01,2008,NaN,0,0,12,0
82013700-01,2008,100.0,454,39,10,493
10000200-01,2008,72.97297297297297,2434,859,8,808
19044600-01,2008,NaN,4717,386,8,5111
82008900-01,2008,NaN,0,0,7,0
70002600-01,2008,NaN,1915,259,4,0
82010100-01,2008,NaN,0,0,4,0
82011602-01,2008,NaN,0,0,4,0
82003400-01,2008,NaN,0,0,2,0
82015900-01,2008,NaN,0,0,2,0
02000500-01,2008,NaN,1884,917,0,0
19002700-01,2008,NaN,1640,214,0,1858
27071100-01,2008,NaN,6382,1892,0,8274
19002300-01,2008,NaN,5794,770,0,6576
19003300-01,2008,NaN,3714,778,0,4515
82009200-01,2008,NaN,0,0,0,0
27007000-01,2008,NaN,3930,532,0,4462
19002400-01,2008,NaN,2118,512,0,2636
